places.name,wilayah,rating,review_count,score
places/ChIJMyMMP6fHaS4RdmNnqX_bBCQ,Bogor,4.9,40349,51.966198701120675
places/ChIJ86QfciX7aS4RYox5as9zu8E,Tangerang,4.9,34633,51.21769657380927
places/ChIJkRCHX-7FaS4RfH3fSyNJhcU,Bogor,4.9,32335,50.88128855425268
places/ChIJL836HcHFaS4R7muTOnsW7tE,Bogor,4.9,29182,50.37857397198694
places/ChIJKRSUrRrFaS4ROkHFl7sKFPA,Bogor,4.9,27505,50.08858126420581
places/ChIJ448jV8CNaS4RRASgc91b5x8,Bekasi,4.9,24923,49.605573720954155
places/ChIJ_fZWgR9E0i0RO4aL1fA8dyQ,Jakarta Selatan,4.8,29699,49.434731158995795
places/ChIJe6TeyxbEaS4RH1N2f5IEDpU,Bogor,4.7,33936,49.03162737493293
places/ChIJSVSfvB_yaS4RssHFo5XfRqI,Jakarta Selatan,4.9,21894,48.97066653825395
places/ChIJk-ilBAT2aS4RxDDhJCeGm28,Jakarta Barat,4.8,26694,48.922711492484574
places/ChIJ_VelIVXyaS4R9_e-oLj_xDI,Jakarta Selatan,4.8,24646,48.53957024740975
places/ChIJofMrMAX0aS4R1qbyTa-0hlI,Jakarta Selatan,4.9,20034,48.5356565130442
places/ChIJ7zBCFQ_zaS4RuzkMoOfzI7E,Jakarta Timur,4.8,23634,48.33832292749122
places/ChIJKWtQ-ZH1aS4RkmnmfQ6NKVY,Jakarta Pusat,4.7,23345,47.273450428399265
places/ChIJATb86AcDai4RErkMeQoCMj8,Tangerang,4.8,17647,46.93621315916776
places/ChIJB9Y8liH0aS4RemVuMOm5PFA,Jakarta Pusat,4.7,20517,46.66657179464399
places/ChIJCaitxgz3aS4RBYdIKQuWDh0,Jakarta Barat,4.9,13322,46.536511005405046
places/ChIJEV6hJhqMaS4R49YPFzLZ_UM,Bekasi,4.7,19690,46.473209700462306
places/ChIJf3J23kbBaS4RUPlMPKXMOXU,Bogor,4.8,15706,46.376936408846554
places/ChIJr-6SbUTBaS4RuKTbPWGkkDk,Bogor,4.9,12049,46.04441770070213
places/ChIJ1_12fzLEaS4R7q302qsE4WQ,Bogor,4.7,17573,45.9386263354622
places/ChIJ2zV-Ccz1aS4RWwlaMym3AnM,Jakarta Pusat,4.6,21132,45.8095189623059
places/ChIJZ1nBhqPzaS4Rz7bsXmwJS98,Jakarta Selatan,4.8,13706,45.72317726511063
places/ChIJjfRbJ_WaaS4RpKtd65bl-aU,Bekasi,4.9,10824,45.51910640906639
places/ChIJD96XFmzxaS4RquSpmFq_Up8,Jakarta Selatan,4.9,10622,45.42680602982207
places/ChIJO4f7IJX7aS4R7zQ5WXUENnU,Tangerang,4.6,18861,45.28656113747762
places/ChIJP1YclbjFaS4RxY5atlh6MeU,Bogor,4.7,14435,45.01415771908459
places/ChIJ8b2k57zzaS4RwlW_OwVrLK4,Jakarta Selatan,4.8,11156,44.735147436447264
places/ChIJDRltcQCVaS4RWMmlCl6708Q,Bogor,4.8,11058,44.69279930436173
places/ChIJW5b4Utj1aS4RUfyzZ6jiw6I,Jakarta Pusat,4.7,13038,44.53579068349032
places/ChIJSdyLZF_2aS4RZokg06PF_j0,Jakarta Barat,4.7,12732,44.424175939595145
places/ChIJ20IiF8cDai4Ra-teCxMd3W8,Tangerang,4.7,12650,44.39381024934895
places/ChIJHRzdG_f1aS4RdL-Wb7tQarM,Jakarta Utara,4.8,10247,44.32722164916754
places/ChIJQcjRPFHxaS4RloaWZh7jJoM,Jakarta Selatan,4.7,12434,44.31287067431627
places/ChIJVyPw5cH3aS4RdPgMBj051j0,Jakarta Barat,4.9,8438,44.29903357607404
places/ChIJpRZ4LxTvaS4R1_RUUd7M-fg,Depok,4.9,8128,44.115646649358204
places/ChIJJd51ZByMaS4R1maDj7DhVzg,Bekasi,4.6,14539,44.08943025500254
places/ChIJHaf_DziJaS4RkTdkmxSvHbM,Bekasi,4.6,14331,44.023150360754286
places/ChIJ26Poec3taS4RtM0TPT6G7Is,Depok,4.9,7945,44.00407728823527
places/ChIJr_TBUwvwaS4R5e6jeLxCWnU,Tangerang,4.6,14010,43.918950866107664
places/ChIJRZgy2y2NaS4R91Vn0zcjWlw,Bekasi,5.0,6239,43.69367730681737
places/ChIJGUxD69n3aS4RCgbkMhmVhLA,Jakarta Barat,4.8,8966,43.68627096456983
places/ChIJe79zLDn1aS4R4XtQhUIrC3M,Jakarta Utara,4.7,10874,43.68284272299736
places/ChIJVVVVVTiMaS4RvnDoZ451dxs,Bekasi,4.6,12590,43.42739273920782
places/ChIJXcO7ileNaS4RcyDlTzBrx_g,Bekasi,4.8,8410,43.3790191294197
places/ChIJQ3hLY0r1aS4RFpFR8od4tSI,Jakarta Utara,4.6,11906,43.1704560106754
places/ChIJZ8CENtb5aS4RlLGGjYluePU,Tangerang,4.7,9716,43.15367137684536
places/ChIJ4ZHg3yX5aS4RiuJOaYvD0PM,Tangerang,4.6,11515,43.0168661979675
places/ChIJ7_zjSA7saS4R9m79XCC1Mgo,Depok,4.6,11441,42.987211944210976
places/ChIJoT4Z2BYeai4RbcU0UsWMgxc,Jakarta Utara,4.5,13603,42.83153615757189
places/ChIJJ6-rlrrxaS4REqAHSq1qMWs,Jakarta Selatan,4.6,11004,42.80808297221858
places/ChIJezI10NP1aS4RwDz8b6UBovU,Jakarta Pusat,4.8,7464,42.80630740787179
places/ChIJva6dm8T1aS4RF-eB4FeF5kI,Jakarta Pusat,4.5,12799,42.55740202458468
places/ChIJ_QPiK0zxaS4R9Tk5k6MUSk8,Jakarta Pusat,4.5,12783,42.55177350602725
places/ChIJBUcbUTH0aS4R1NA8rbvdUF4,Jakarta Pusat,4.5,12628,42.496879660407764
places/ChIJIaDxifop1i0R7wc0UW_-yNY,Jakarta Utara,4.8,6917,42.441033549586145
places/ChIJRSrcT9z_aS4Rm7Qsf1-BRMo,Tangerang,5.0,4855,42.43985166369667
places/ChIJsVaBPt_1aS4RHBDLxo3gMv8,Jakarta Pusat,4.6,10059,42.39508324080716
places/ChIJmaz_LTDtaS4Rf89F9trsZVg,Jakarta Timur,4.8,6767,42.335812326173084
places/ChIJ_9sJ7DT1aS4RPxP5uTp5z0U,Jakarta Utara,4.7,8110,42.30458928713062
places/ChIJR2Roonf2aS4RCDz06Xs-w9g,Jakarta Pusat,4.5,12077,42.29613402690531
places/ChIJV5S7Gt75aS4RjSAXFE5Vf78,Tangerang,4.7,7698,42.05957492760684
places/ChIJcbOByhXxaS4Roo4wTpVnXGs,Jakarta Selatan,4.6,9307,42.03769581234204
places/ChIJAxml5HryaS4RasiFwwBm1u0,Jakarta Timur,4.7,7568,41.97953631535309
places/ChIJv4DEUv_yaS4R282z4bRajn4,Jakarta Timur,4.4,13640,41.89167506696973
places/ChIJJXkRAfb5aS4R4u_PhQR_kAk,Tangerang,4.7,7368,41.8536752666049
places/ChIJFZZ7ggHtaS4RqzQlcthPUtc,Jakarta Timur,4.9,5038,41.77231835053493
places/ChIJS52Dj6_vaS4R5fdPd_ZLXEA,Depok,4.9,5022,41.756734954375226
places/ChIJVZzWMe0dai4RoCgqXW8CJ-k,Jakarta Utara,4.6,8629,41.689799006756374
places/ChIJCeBpVm71aS4RpLrbTxe5utE,Jakarta Utara,4.5,10509,41.67037108741949
places/ChIJaUiXcrfoaS4RbOIBlyRQ7LM,Depok,4.6,8333,41.52925453511904
places/ChIJDw2ZNTL1aS4R1FDECbO6aBg,Jakarta Utara,4.6,8025,41.35603113380356
places/ChIJBRvvmg_zaS4RcPHle1Sz5bo,Jakarta Timur,4.5,9548,41.23886272177592
places/ChIJX-_fmL32aS4R1s7lGt-UI64,Jakarta Barat,4.5,9455,41.19482132840646
places/ChIJtdUOjyQdai4RZzgJXYCEDpg,Jakarta Utara,4.7,6403,41.19398694834805
places/ChIJJ_75GyibaS4R4Np9xfi6Acc,Bekasi,4.7,6186,41.031966298995656
places/ChIJWW2ZeQD1aS4RWorJHChpoVw,Jakarta Timur,4.7,6080,40.95074484506452
places/ChIJJ32_yczyaS4RoyeiQ6LnO8Q,Bekasi,4.6,7159,40.830820195791574
places/ChIJUc3u4xb3aS4RNBZkSHrYRtk,Jakarta Barat,4.6,6992,40.722258667437785
places/ChIJadVPFf8dai4RRM83ZusjgqM,Jakarta Barat,4.5,8383,40.6533618295237
places/ChIJpWx7y6z3aS4RfmxNLTORdFQ,Jakarta Barat,4.8,4640,40.52488866835764
places/ChIJKSl1EKr0aS4Rpo9f11JQ6z8,Jakarta Timur,4.5,8033,40.46147016713652
places/ChIJu-y7q3LzaS4RVHoqGQZZG8M,Jakarta Timur,4.4,9667,40.37693766402285
places/ChIJuyoGhjTxaS4RnqpGFyqkk4U,Depok,4.8,4451,40.32532181949809
places/ChIJ6Wy8npvraS4RRMHx1lPYNT8,Depok,4.6,6366,40.290864928078314
places/ChIJA9jwFvkdai4RISamt6Rfebw,Jakarta Barat,4.7,5153,40.17338343869786
places/ChIJyzgVZ1npaS4RPZl-noqvqXA,Depok,4.6,5695,39.77858948422233
places/ChIJN-OFOlSTaS4RN7e34GKRLZY,Jakarta Timur,4.6,5496,39.615005732159034
places/ChIJ39MetFzsaS4RRzeT69LY1t8,Depok,4.5,6208,39.301898091142014
places/ChIJS1s7KBjpaS4R6owHlPzfq7w,Depok,4.7,4093,39.091205501239806
